Company Name,Average Anual Invoice,Average Anual value,Avg. Days diff,Avg. Item/Invoice,Distinct Item,Distinct Month,Gross Value HC,Inv-Pay gap,No. of Invoice,No. of Order,Pending Amount,Company Type
Company 468,1,30555,,2,4,1,61110,351,2,2,,Private
Company 469,1,198450,20,3,3,1,198450,,1,1,0,Private
Company 470,1,13845.84,,1,1,2,27691.68,216,2,2,,Private
Company 471,1,4770,1,1,1,2,9540,156,2,2,0,Private
Company 472,1,1848.01,33.8,1,1,1,1848.01,,1,4,351345,Private
Company 473,2,25321.02667,,1,2,4,75963.08,216.4,6,6,,Private
Company 474,1,559150,90,1,1,1,559150,,1,5,0,Private
Company 475,3.333333333,28766.56667,39.8,1.2,3,6,86299.7,82.77777778,10,10,0,Private
Company 476,1,67924.43,,1,1,1,67924.43,,1,1,,Private
Company 477,11,3653070.548,11.23076923,1.590909091,23,12,14612282.19,35.68571429,44,59,0,Private
Company 478,3,339555.805,77,1.666666667,10,4,679111.61,32.75,6,8,0,Private
Company 479,1,8925,,2,2,1,8925,,1,1,,Private
Company 480,2,171317.005,92.5,1.25,5,2,342634.01,189,4,10,0,Private
Company 481,1,4992,5,1,1,1,4992,,1,1,0,Private
Company 482,1,4387.425,41.66666667,1,2,2,8774.85,608,2,3,10265,Private
Company 483,1.5,7245.96,,1,3,3,14491.92,211,3,4,,Private
Company 484,2,15682.26,26,2.5,5,1,15682.26,,2,2,7841,Private
Company 485,1,8324.73,,1,1,1,8324.73,,1,1,,Private
Company 486,1.333333333,7775,8,1,1,3,23325,179,4,4,0,Private
Company 487,1,118050.01,64,1,2,2,236100.02,95,2,2,0,Private
Company 488,1,126225,,1,1,1,126225,,1,1,,Private
Company 489,1.5,262311.36,7.5,1,2,2,524622.72,247.5,3,3,8250,Private
Company 490,1,9397.5,4,1,1,1,9397.5,,1,1,0,Private
Company 491,1,138810,,1,1,1,138810,,1,1,,Private
Company 492,1.666666667,1177122.347,49,1,1,5,3531367.04,170.25,5,13,0,Private
Company 493,2.666666667,44765.43667,40.57142857,1.25,4,7,134296.31,126.5714286,8,8,0,Private
Company 494,11,1466546.26,61.2278481,1.545454545,18,11,5866185.04,33.47058824,44,72,979664,Private
Company 495,1,2471.92,,1,1,1,2471.92,,1,1,,Private
Company 496,1,26989.2,,2,2,1,26989.2,,1,1,,Private
Company 497,1,242740,,2,2,1,242740,,1,1,,Private
Company 498,1,453492,34,2,2,1,453492,,1,1,0,Private
Company 499,1,88557.42,,1,1,1,88557.42,,1,2,,Private
Company 500,2,33747.15,64,2.5,5,1,33747.15,,2,2,0,Private
Company 501,2.666666667,63905.27667,96.84210526,1.25,7,4,191715.83,130.1428571,8,13,54942600,Private
Company 502,2,35931.56,,1,2,1,35931.56,12,2,2,,Private
Company 503,1,114335,32,2,2,1,114335,,1,1,350,Private
Company 504,1,54121.5,4.75,1,1,1,54121.5,,1,4,177712,Private
Company 505,2,454899.5,47.25,3.5,13,4,909799,114,4,5,3793568.6,Private
Company 506,1.5,2867.985,56.5,1.333333333,1,2,5735.97,426,3,3,0,Private
Company 507,1.75,210262.93,,1.857142857,12,6,841051.72,200,7,13,,Private
Company 508,1,75790,138,1,1,1,75790,,1,2,0,Private
Company 509,1,25875,135,1,1,1,25875,,1,1,0,Private
Company 510,1,9975,2,1,1,1,9975,,1,1,0,Private
Company 511,1,254940,32.66666667,1.5,3,2,509880,78,2,4,0,Private
Company 512,1,9922.5,99,1,1,1,9922.5,,1,1,0,Private
Company 513,1,57977.5,72.66666667,1.5,3,2,115955,168,2,2,0,Private
Company 514,1,2544,,1,1,1,2544,,1,1,,Private
Company 515,1,166464,,1,1,1,166464,,1,3,,Private
Company 516,1,7500,3,1,1,1,7500,,1,1,0,Private
Company 517,1,2625,,1,1,1,2625,,1,1,,Private
Company 518,1,4274,,1,2,2,8548,261,2,2,,Private
Company 519,2.666666667,87290,18.75,1,2,6,261870,128.3333333,8,8,0,Private
Company 520,1,14152.5,5,1.5,2,2,28305,285,2,2,0,Private
Company 521,2,32061.01,,1,2,1,32061.01,11,2,3,,Private
Company 522,1.5,17090,,1,1,3,34180,176.5,3,3,,Private
Company 523,1,7612.5,11,1.5,3,2,15225,347,2,2,0,Private
Company 524,1,14175,1,1,1,1,14175,,1,2,0,Private
Company 525,2,275207.14,5,2,4,1,275207.14,,2,6,47943,Private
Company 526,1,28140,5,1,1,1,28140,,1,1,0,Private
Company 527,1.5,125998.05,7.5,1,3,1,251996.1,188.5,3,3,0,Private
